Query_ID,Hit_Count,Min_Evalue,Max_Bitscore,Source_Files
D00723:439:HGFFGBCX3:1:1103:16810:3544,4,1.42e-15,58.9,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1103:20000:4336,4,2.83e-17,63.9,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1103:1569:6528,4,4.35e-19,68.9,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1103:7472:6843,7,1e-11,48.1,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1103:9571:19624,3,1.75e-08,38.9,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1103:10744:22488,1,6.59e-07,34.3,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1103:6782:28080,4,7.48e-15,57.0,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1103:5444:40225,4,3.81e-11,46.6,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1103:18259:59043,6,1.86e-10,44.3,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1103:17787:69558,8,1.22e-17,64.7,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1103:11204:74255,1,2.13e-06,33.1,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1103:20807:80239,10,4.22e-18,66.2,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1103:6907:82103,1,4.41e-07,35.0,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1103:18218:92740,1,9e-06,31.2,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1103:4347:98209,1,7.51e-07,34.3,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1104:18745:5099,2,6.3e-06,31.6,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1104:21012:7368,10,6.44e-12,48.5,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1104:14412:9673,4,1.58e-17,64.3,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1104:6146:11687,4,2.65e-11,47.0,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1104:15631:22649,14,5.21e-13,51.6,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1104:12970:32075,10,2.86e-10,43.9,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1104:19352:33201,13,1.77e-10,44.7,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1104:11804:37226,2,7.92e-11,45.4,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1104:14989:37333,8,3.07e-09,40.8,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1104:12538:44067,7,5.4e-11,45.8,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1104:9271:51088,14,5.49e-18,65.9,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1104:13041:52006,2,1.65e-10,44.7,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
